scene,mean acc,count,var acc
ramp,0.951158,1,
sun_deck,0.951784,1,
building_complex,0.953861,1,
indoor_procenium,0.9551925,2,5.5145205e-06
cavern_outdoor,0.955494,1,
movie_theater_outdoor,0.955743,1,
aqueduct,0.957039,1,
elevator_shaft,0.958347,1,
watchtower,0.958623,1,
casino_outdoor,0.959723,1,
door,0.960076,1,
fairway,0.962491666667,3,0.000234708361333
freight_elevator,0.962724,1,
bath_outdoor,0.963494,1,
ranch,0.964886,1,
tennis_court_indoor,0.965542,1,
moon_bounce,0.966683,1,
bus_depot_outdoor,0.967541,1,
assembly_plant,0.969144,1,
cloister_outdoor,0.971142,1,
corner,0.971471,1,
entrance,0.972379,1,
water_tower,0.9727645,2,0.0008066939445
glade,0.972878,1,
station,0.973718,1,
industrial_park,0.976004,1,
monastery_outdoor,0.976058,1,
diner_indoor,0.977632,1,
wheat_field,0.979222,1,
sandbox,0.98001,1,
road_outdoor,0.980057,1,
road_cut,0.982297,1,
garbage_dump,0.982318,1,
recycling_plant_outdoor,0.982682,1,
apse_outdoor,0.984953,1,
manhole,0.989105,1,
aquatic_theater,0.992072,1,
ice_skating_rink_outdoor,0.99488,1,
firing_range_indoor,0.995247,1,
ocean_deep,1.0,1,
